Gene_name       Ensembl_ID
Ret 	ENSLAFG00000017479 
Rfng 	NA
Robo1 	ENSLAFG00000007643
Robo2 	ENSLAFG00000003612 
Ror1 	ENSLAFG00000012631 
Ror2 	ENSLAFG00000009661 
Runx1 	ENSLAFG00000004290 
Runx2 	ENSLAFG00000005054 
Runx3 	ENSLAFG00000008382 
Rxra 	ENSLAFG00000012239
Rxrb 	ENSLAFG00000002141 
Rxrg 	ENSLAFG00000008059 
secreted phosphoprotein 1 	ENSLAFG00000006514
Sema3a 	ENSLAFG00000016758 
Sema3b 	ENSLAFG00000014400 
Sema3c 	ENSLAFG00000001219
Sema3f 	ENSLAFG00000006234 
Slit1 	ENSLAFG00000014273
Slit2 	ENSLAFG00000017738
Slit3 	ENSLAFG00000027741
Slitrk6 	ENSLAFG00000013927
Smo 	ENSLAFG00000013328 
Snai1 	ENSLAFG00000030265
Sonic hedgehog 	ENSLAFG00000022332
Sox9 	ENSLAFG00000001445
Sp4 	ENSLAFG00000022398 
Sp6 	ENSLAFG00000010701 
Spock1 	ENSLAFG00000017553
Spry1 	ENSLAFG00000001284 
Spry2 	ENSLAFG00000001670
Spry4 	NA
syndecan 1 	ENSLAFG00000022920
syndecan 2 	ENSLAFG00000011079
syndecan 3 	ENSLAFG00000013200 
syndecan 4 	ENSLAFG00000008150 
Tac1 	ENSLAFG00000000907 
Tbx1	ENSLAFG00000021555
Tcf1 	ENSLAFG00000016828,ENSLAFG00000002573
tenascin 	NA
tenascin C 	ENSLAFG00000010541
Tfap2a 	ENSLAFG00000011386
Tfap2c 	ENSLAFG00000007788
Tgfb1 	ENSLAFG00000007672
Tgfb2 	ENSLAFG00000002358
Tgfb3 	ENSLAFG00000022584
Tgfbr2 	ENSLAFG00000003785
Timp 	NA
Timp1 	ENSLAFG00000022600 
Timp2 	ENSLAFG00000029379 
Timp3 	ENSLAFG00000013851 
Tjp1 	ENSLAFG00000002222
Tjp2 	ENSLAFG00000009356
Tjp3 	ENSLAFG00000027222
Tlx1	ENSLAFG00000004179
Tnfrsf19 	ENSLAFG00000009607
Tnfsf6 	ENSLAFG00000013064
Traf1 	ENSLAFG00000018541 
Traf2 	ENSLAFG00000022424
Traf3 	ENSLAFG00000017186 
Traf4 	ENSLAFG00000013400
Traf6 	ENSLAFG00000016463
trkB.FL 	ENSLAFG00000007229
trkB.T1 	NA
trkB.T2 	NA
Trp63 	NA
tuftelin 	ENSLAFG00000011926
versican 	ENSLAFG00000002716 
vimentin 	ENSLAFG00000018142 
Wnt10a 	ENSLAFG00000012543 
Wnt10b 	ENSLAFG00000004210
Wnt3 	ENSLAFG00000013699 
Wnt4 	ENSLAFG00000031555 
Wnt5a 	ENSLAFG00000002683 
Wnt6 	ENSLAFG00000017647
Wnt7b 	ENSLAFG00000001480 
Wt1 	ENSLAFG00000006160 
PHEX	ENSLAFG00000010566
