mom_name,mom_ID,family,mom_2_tusks,mom_0_tusks,mom_left_tusk,mom_right_tusk,mom_accuracy,notes,first_date_calf_recorded,calf_age_years,calf_age_months,calf_age_weeks,calf_age_days,calf_ID,estim_year_birth,calf_female,calf_male,calf_sex,sex_confirmed_2020,sex_confirmed,calf_2_tusks,calf_0_tusks,calf_left_tusk,calf_right_tusk
Iria,gf0045,I,,1,,,4,20171009 male photographed with her along with 5 calves - now that I have saved his photograph he is by her side on many occasions eg 20161029 and 20161031 has a small notch and hole in upper left ear,20161029 ck earlier,7,,,,gf0045c,2009,,1,m,√,,1,,,
,gf0097,N,,1,,,4,20150608 gf0097 photographed on trail camera DOUBLE-SUCKLED two calves for two minutes. A male of 7 and another calf of age 3. ,20150608,7,,,,gf0097c,2008,,1,m,,,1,,,
,gf0140,N,,1,,,4,20150917 photographed on trail cameras with 3 calves a tuskless female about 8 a 2 tusked female about 5 and a calf about 2-3. The one with tusks is leaning up against her; 20160722 photographed again; 20160810 photographed on trail camera with her,20150917,8,,,,gf0140c,2007,1,,f,√,yes (tuskless),,1,,
Cacia,gf0029,C,,1,,,4,20161027 seen Ear-Brushing; 20161029 seen following her; 20190929 & 20190930 seen near and following her; 20191006 with her; pregnant,20161027,9,,,,gf0186,2007,1,,f,√,yes,,,1,
,gf0026,M,,1,,,3,20151024 photographed with infant by her side,20151024,0.08,1 CK,,,gf0026c,2015,1,,f,difficult to confirm - exclude,yes,,,,
,gf0176,Z,,1,,,3,20160704 photographed with very full breasts and an infant nearby - infant appears to be female but hard to be sure; 20161029  also look like may be female,20160704,0.33,4,,,gf0176c,2016,,,unk,,,,,,
,gf0080,C,,1,,,3,20161029 is with a <6 month calf,20161029,0.42,5,,,gf0080c,2016,,1,m,,yes,,,,
Berta,gf0009,B,,1,,,3,20161026 Infant by her side; 20161027 Infant running with her in a group-charge and with her on 20161026; also in 20161027 EV footage definitely female,20161026,0.5,6,,,gf0009c,2016,1,,f,√,yes,,,,
Celina,gf0085,C,,1,,,3,20161031 female infant seen near to gf0085 and gf0153 - both tuskless,20161031,0.5,,,,gf0085c,2016,1,,f,√,,,,,
,gf0183,Z,,1,,,3,20161020 photographed following her closely down bank on trail camera,20161020,0.5,6,,,gf0183c,2016,1,,f,exclude,blurry but feel 90% sure,,,,
Ines,gf0048,I,,1,,,3,"20190928 gf0048 has a chopped trunk and is followed by three calves: a six month old, a one year old and females calves one 4 and one 5 both with tusks.",20190928,0.5,,,,gf0048c,2019,,,unk,,,,,,
,gf0103,CB,,1,,,3,20151027 photographed on trail cameras with two infants following her - I think they may be twins - one male one female,20151027,0.83,10,,,gf0103,2015,1,,f,√,,,,,
,gf0103,CB,,1,,,3,20150513 with tiny twins; 20151027 photographed on trail cameras with two infants following her - I think they may be twins - one male one female,20151027,0.83,10,,,gf0103,2015,,1,m,,,,,,
,gf0111,A,,1,,,3,20171010 1642 seen following - but not a perfect sighting,20171010,1,,,,gf0111c,2016,,1,m,,,,,,
Isabella,gf0038,I,,1,,,3,20191008 seen with a one year old calf but hard to see exactly how old with high vegetation,20191012,1,,,,gf0038c,2018,,,unk,,,,,,
,gf0189,V,,1,,,3,20161020 has small calf by her side,20161020,1,,,,gf0189c,2016,,,unk,,,,,,
,gf0229,BB,,1,,,3,20170604,20170604,1.5,,,,gf0229c,2016,1,,f,√,yes (tuskless),,1,,
,gf0200,,,1,,,3,20161024 photographed on trail cameras with a calf about 18 months,20161024,1.5,,,,gf0200c,2014,,,unk,,,,,,
Camila,gf0004,C,,1,,,3,20150528 calf and siblings wait anxiously for gf0004 to arrive and walk with her; 20161027 in EV footage just showing tusks - seems to be female,20150528,2,,,,gf0004c,2013,1,,f,need to confirm,yes,1,,,
,gf0044,F,,1,,,3,20160510 likely hers as only tuskless calf in group and mother is tuskless and other female’s calves accounted for,20160510,2,,,,gf0044c,2014,1,,f,√,yes (tuskless),,1,,
Iria,gf0045,I,,1,,,3,20191009 with her; 20150522 photographed following her; 20161031 photographed with her ; check earlier photos - check to see if these are same two individuals,20150522,2,,,,gm0210,2007,,1,m,,yes,1,,,
,gf0140,N,,1,,,3,20150917 photographed on trail cameras with 3 calves a tuskless female about 8 a 2 tusked female about 5 and a calf about 2-3. The one with tusks is leaning up against her; 20160722 not seen,20150917,2.5,,,,gf0140c,2013,1,,f,√,,1,,,
,gf0195,,,1,,,3,20161024 photographed on trail camera by her side,20161024,2.5,,,,,2014,,1,m,,,1,,,
,gf0007,N,,1,,,3,"20150709 images from trail camera show her with 2 or 3 calves in close association all female; youngest has tusks showing about 2 cm and looks to be 3 years, the next is a female of 6",20150709,3,,,,gf0007c,2012,1,,f,√,yes,1,,,
,gf0125,T,,1,,,3,20150613 seen with calf about 3 on trail cameras; 20160610 she is followed by a female of 4; 20160827 with female 4,20150613,3,,,,gf0125c,2012,1,,f,√,,1,1,,
iJunia,gf0005,I,,1,,,3,20121019 seen with his with tusks just emerging. From ID card: Has been seen following iJunia around. Believe he is her son between gm0204 and Imaculada; on trail cameras from 20161019 - long tusks and a head like a female but definitely male,20121019,3,,,,gm02012,2009,,1,m,,yes,1,,,
Bullet-Hole,gf0032,C,,1,,,3,20161031 video she is right with gf0032; 20131018 this one tusked female is closely associated with gf0032 but could be allomother to new baby; 20160513 also seen near her - either way has been seen with her on a number of occasions and if not hers then she belongs to one of the other tuskless females in the family as there are hardly any females with tusks,20131018,4,,,,gf0032c,2009,1,,f,√,yes,,,1,
Camila,gf0004,C,,1,,,3,20131021 seen near but walked by,20131021,4,,,,gf0004c,2009,,1,m,,yes,,,,
Berta,gf0009,B,,1,,,3,"20121012 is with a 4 year old female (later confirm male) with tusks; Notes from 2012 footage: “Berta, Gf0009, matriarch of the B family, is in group with Emilia, gf0161, and others. Berta is Listening. She has a newborn on  her left side and a 4.5 year old calf on her right - out of view. She has a newborn and a 4.5 year old calf both of whom were DOUBLE-SUCKLING before this clip starts.The older calf comes around to our side and Solicit-Suckling  x 2 but fails due to Berta's concern about us. The calf goes back to other side. 201610; She appears to have a 7 year old female (later confirm male) running in a group-charge next to her.",20121012,4,,,,gf0009c,2008,,1,m,√,in footage can confirm is male - so this one changed from unsure female to male,1,,,
